eggmass,date,session,operator,device,time.sec,count,curly,notes
23,3/10/23,7,Ally,Ruler,30,2,,
23,3/10/23,7,Ally,Ruler,38,3,,
23,3/10/23,7,Ally,Ruler,49,4,,
23,3/10/23,7,Ally,Ruler,73,4,,
23,3/10/23,7,Ally,Ruler,20,1,,
23,3/10/23,7,Ally,Ruler,12,1,,
23,3/10/23,7,Ally,Ruler,17,1,,
23,3/10/23,7,Ally,Ruler,100,9,,
23,3/10/23,7,Ally,Aplysia Bar,63,8,,
23,3/10/23,7,Ally,Aplysia Bar,41,1,,
23,3/10/23,7,Ally,Aplysia Bar,23,3,,
23,3/10/23,7,Ally,Aplysia Bar,23,2,,
23,3/10/23,7,Ally,Aplysia Bar,14,1,,
23,3/10/23,7,Ally,Aplysia Bar,69,5,,
23,3/10/23,7,Ally,Aplysia Bar,25,2,,
23,3/10/23,7,Ally,Aplysia Bar,25,2,,
23,3/10/23,7,Ally,Aplysia Bar,22,2,,
23,3/10/23,7,Ally,Aplysia Bar,117,2,,
23,3/10/23,7,Ally,Aplysia Bar,42,2,,
23,3/10/23,7,Ally,Aplysia Bar,24,1,,
23,3/10/23,7,Ally,Aplysia Bar,73,5,,
23,3/10/23,7,Ally,Aplysia Bar,98,8,,
23,3/10/23,7,Ally,Aplysia Bar,45,2,,
23,3/10/23,7,Ally,Aplysia Bar,99,4,,
23,3/10/23,7,Ally,Aplysia Bar,65,4,,
23,3/10/23,7,Ally,Aplysia Bar,25,1,,
23,3/10/23,7,Ally,Aplysia Bar,64,4,,
23,3/10/23,7,Ally,Aplysia Bar,26,3,,
22,3/10/23,7,Cameron,Ruler,142,20,,
22,3/10/23,7,Cameron,Ruler,50,6,,
22,3/10/23,7,Cameron,Ruler,55,7,,
22,3/10/23,7,Cameron,Ruler,19,1,,
22,3/10/23,7,Cameron,Ruler,22,2,,
22,3/10/23,7,Cameron,Ruler,35,2,,
22,3/10/23,7,Cameron,Ruler,29,2,,
22,3/10/23,7,Cameron,Ruler,33,3,,
22,3/10/23,7,Cameron,Ruler,82,4,,
